endpoint,run,lat_mean_s,lat_p50_s,lat_p90_s,lat_p95_s,lat_p99_s,lat_max_s,requests,rate,throughput,success,bytes_in_total,JVM_CPU_pct,Native_Memory_Reserved_GB,Native_Memory_Committed_GB,Physical_Memory_Used_GB,Heap_Used_MB
traditional,1,0.249823596,0.111069176,0.172266204,0.627915507,3.986220536,19.52777928,600000,1000.0015587090963,999.6635018439816,0.9998416666666666,22196485,,,,,
traditional,3,0.516002794,0.11118923,0.15158764,1.032137133,13.51959423,60.691363113,599999,1000.0000942651659,946.8231091765593,0.995973326622211,22110571,,,,,
traditional,5,0.220982588,0.112519123,0.194697575,0.493880146,2.971224464,13.632439182,600000,1000.0015699807982,999.7605673448094,0.9999416666666666,22198705,,,,,
traditional,7,0.111833852,0.109721031,0.117516036,0.123322087,0.14653583,0.477224272,600000,1000.0000302500008,999.8100483468188,1,22200000,,,,,
traditional,9,0.115321554,0.110955175,0.126204807,0.139684337,0.185329909,0.361551841,600000,1000.0016167726139,999.6776285352074,1,22200000,,,,,
traditional,11,0.115404782,0.110516759,0.124791396,0.138278628,0.207562867,0.631249611,600000,1000.0012569299131,999.8190766825035,1,22200000,,,,,
traditional,13,0.360625734,0.112207544,0.145684633,0.216000115,9.587224917,64.146432026,600000,1000.0006105020393,998.3321778172572,0.9985116666666667,22166959,,,,,
traditional,15,0.422781024,0.11194808,0.164256853,1.236280076,10.095439506,70.001200629,600000,1000.001836236705,998.2467295392075,0.9984266666666667,22165072,,,,,
traditional,17,0.425167889,0.114100372,0.636942283,1.803686795,7.028021403,26.168789238,600000,1000.0016238443035,998.9247502577896,0.9991066666666667,22180168,,,,,
traditional,19,0.331935163,0.110916465,0.157422368,0.97781786,7.086547861,27.494503813,600000,1000.0004426968626,998.710276121671,0.9989066666666667,22175728,,,,,
traditional,21,0.916027534,0.113413055,2.550919718,5.754183634,12.27997451,40.282059993,600000,1000.0015623907743,975.3474876904305,0.9959283333333333,22109609,,,,,
traditional,23,0.306634823,0.112995949,0.408805872,1.122900078,4.339448288,21.637875527,600000,1000.0012123431364,973.5849261850072,0.9998,22195560,,,,,
traditional,25,1.22451486,0.116479788,2.709635262,6.636136297,19.350087592,70.0124026,600000,1000.001491423891,989.404810409877,0.9895916666666666,21968935,,,,,
traditional,27,0.345050563,0.112592111,0.192842621,1.038291142,7.059077224,23.214725648,600000,999.9984158425096,993.8123818248631,0.9988583333333333,22174655,,,,,
traditional,29,0.133690844,0.111353489,0.159478282,0.251265228,0.524133181,2.326143737,600000,1000.0016926711984,999.2897603738547,1,22200000,,,,,
traditional,31,0.114755238,0.111329795,0.123482293,0.13051964,0.16436451,1.305497667,600000,1000.0010876195163,999.8154543000684,1,22200000,,,,,
traditional,33,0.118205146,0.111274632,0.128728536,0.141316828,0.201134168,3.929881751,600000,1000.0018494350871,999.8078853617928,1,22200000,,,,,
traditional,35,0.118060347,0.110706976,0.131698739,0.149963273,0.235850553,1.391571684,600000,1000.0016203392921,999.8139345334673,1,22200000,,,,,
traditional,37,0.114995326,0.109671071,0.123240494,0.137208077,0.225693946,1.215079208,600000,1000.0013025950301,999.8185138098827,1,22200000,,,,,
traditional,39,0.258594851,0.111582261,0.150428082,0.375314088,4.571689638,30.286432169,600000,1000.0006577137659,999.0185567339934,0.999215,22182573,,,,,
traditional,41,0.227253391,0.118623473,0.2415413,0.658846267,2.57820183,12.667569712,600000,1000.000070975005,999.7624907781565,0.9999866666666667,22199704,,,,,
traditional,43,0.125610371,0.111338009,0.134899203,0.169001214,0.440214351,2.779403113,600000,1000.0015014839212,999.8216516421442,1,22200000,,,,,
traditional,45,11.411222604,0.123035485,42.033731144,58.521776059,81.104517915,135.220431855,600000,1000.0015723774723,851.6850557200614,0.8518383333333334,18910811,,,,,
traditional,47,0.122222164,0.112913493,0.135911019,0.149060545,0.217325778,4.790548256,600000,1000.0017994532379,999.7914261487934,1,22200000,,,,,
traditional,49,0.227810772,0.113859281,0.183325858,0.442809877,3.034880734,20.129397614,600000,1000.0001535966903,999.8077142187809,0.9999933333333333,22199852,,,,,
traditional,51,0.182008918,0.116683018,0.169927603,0.394925489,1.815288504,7.764686648,600000,1000.0013723118832,999.7708382817732,0.9999983333333333,22199963,,,,,
traditional,53,0.212795509,0.113736777,0.172560084,0.442309741,2.919121087,16.791410572,599999,1000.0001022818476,999.779128116276,0.999966666611111,22199223,,,,,
traditional,55,0.115050391,0.110594718,0.127249359,0.139255123,0.175999426,0.446330499,600000,1000.0012257965026,999.8218610624683,1,22200000,,,,,
traditional,57,0.338790977,0.111820248,0.200167632,0.954176885,6.557462076,26.667913066,600000,1000.0011941480926,998.8279923976788,0.999005,22177911,,,,,
traditional,59,0.113053234,0.110344748,0.119103006,0.124577913,0.149292412,1.410309328,600000,1000.0016988978863,999.8232532466039,1,22200000,,,,,
traditional,61,0.129672695,0.110065588,0.121735441,0.133812535,0.482835689,7.392313035,600000,1000.0013641001941,999.8191453459891,1,22200000,,,,,
