carga,run,lat_mean_s,lat_p50_s,lat_p90_s,lat_p95_s,lat_p99_s,lat_max_s,requests,rate,throughput,success,bytes_in_total,cpu_mean,cpu_max,mem_mean,mem_max,rss_mean_kb,rss_max_kb,threads_mean,threads_max
traditional,1,0.238559621,0.111101835,0.359292885,0.742564834,2.884199797,15.771761997,600000,1000.0015688607946,999.7948702658789,0.999975,22199445,,,,,,,,
traditional,3,0.116546341,0.11004683,0.12080847,0.140129721,0.275091996,0.973453459,600000,1000.0014553187846,999.8187900096788,1,22200000,,,,,,,,
traditional,5,0.112277602,0.109391851,0.115877938,0.120394318,0.165877111,1.440961224,600000,1000.0020754693077,999.8204655584037,1,22200000,,,,,,,,
traditional,7,0.110657307,0.109260233,0.11488217,0.11872314,0.136467033,0.394863823,600000,1000.000779862275,999.8171571192996,1,22200000,,,,,,,,
traditional,9,0.110474084,0.108968499,0.11475864,0.119165676,0.138728275,0.390595327,600000,1000.0000504266691,999.8238470403321,1,22200000,,,,,,,,
virtual,10,0.108855803,0.10759144,0.112998785,0.115789884,0.128816216,0.394090103,600000,1000.0003061234271,999.799131491264,1,19800000,,,,,,,,
virtual,2,0.253278002,0.109208612,0.205081355,0.501067785,4.418032931,25.984213019,600000,1000.0011584946753,999.3681061075598,0.9995633333333334,19791354,,,,,,,,
virtual,4,0.121632523,0.10912441,0.133018999,0.18674128,0.348400582,1.730860733,600000,1000.0014079753158,999.8242364765803,1,19800000,,,,,,,,
virtual,6,2.008968215,0.109787518,4.937071874,14.275782375,32.918159101,70.012711675,600000,1000.001543097381,987.5806445030929,0.98776,19557648,,,,,,,,
virtual,8,0.110209487,0.107640424,0.114734584,0.121228939,0.161071568,0.390859784,600000,1000.0012926400042,999.8219371153708,1,19800000,,,,,,,,
