endpoint,run,Requests,JVM_CPU_pct,Native_Memory_GB,Heap_Used_MB
traditional,1,2350,,,
virtual,2,2350,,,
traditional,3,2650,,,
virtual,4,2150,,,
traditional,5,2200,,,
virtual,6,3050,,,
traditional,7,1700,,,
virtual,8,150,,,
traditional,9,,,,
virtual,10,,,,
endpoint,run,Requests,JVM_CPU_pct,Native_Memory_GB,Heap_Used_MB
traditional,1,2350,,,
virtual,2,2350,,,
traditional,3,2650,,,
virtual,4,2150,,,
traditional,5,2200,,,
virtual,6,3050,,,
traditional,7,1700,,,
virtual,8,2800,,,
traditional,9,1750,,,
virtual,10,4400,,,
