endpoint,run,Requests,JVM_CPU_pct,Native_Memory_GB,Heap_Used_MB
traditional,1,2000,,,
virtual,2,1950,,,
traditional,3,1000,,,
virtual,4,1900,,,
traditional,5,1550,,,
virtual,6,1450,,,
traditional,7,600,,,
virtual,8,700,,,
traditional,9,700,,,
virtual,10,800,,,
endpoint,run,Requests,JVM_CPU_pct,Native_Memory_GB,Heap_Used_MB
traditional,1,2000,.9732489614337967500,.57970070927360728092,228.90904128491579055786
virtual,2,1950,.4802855603974004300,.40041344813110753481,162.88465744909578323364
traditional,3,1000,.6269599435951370600,.41903108996034501623,162.27699046232261657714
virtual,4,1900,.4740702328216641000,.39460335457471198500,149.18556538899739265441
traditional,5,1550,.808052860816825800,.37295611154192706882,132.61155748848962783813
virtual,6,1450,.3585379244705878700,.54321513161769831022,184.65517381032307624816
traditional,7,600,.4629463222307695100,.34860044774409984868,128.46590241141942024230
virtual,8,700,.2765549102262442400,.42093179239626752814,143.70552508036294937133
traditional,9,700,.4250148142993279400,.40975919160052758314,149.15512704849243164062
virtual,10,800,.3032944400390407600,.34128788997519891125,115.33171281360444068908
